paper_id,conference,year,citation,num_modules,num_files,num_root_files,total_lines,contain_docker,contain_data,num_lang,main_language,num_duplicates,has_shell,num_lists,code_blocks,code_elements,contain_project_page,contain_trained_model,dynamic_images,images,tables,has_video,github_links,framework,from_organization,has_license,stars
1195,CVPR,2015,86,2,13,0,739,0,0,1,matlab,2,0,0,3,0,0,0,0,0,0,0,0,Unknown,personal,0,6
1196,ICCV,2015,13,4,19,1,3263,0,1,1,c/c++,0,0,7,0,0,0,0,0,0,0,0,0,Unknown,organization,0,10
1197,CVPR,2015,37,8,35,4,2022,0,1,2,matlab,5,0,3,1,15,1,0,0,0,0,0,0,matlab,personal,0,5
1198,ICCV,2015,25,3,13,2,1783,0,1,1,python,2,0,0,0,1,0,0,0,0,0,0,0,Unknown,personal,1,5
1199,CVPR,2015,11,0,11,13,479,0,0,2,matlab,0,0,2,0,0,1,0,0,0,0,1,0,matlab,personal,0,4
1200,CVPR,2015,27,0,4,5,335,0,1,1,python,0,0,1,1,1,0,0,0,0,0,0,0,Unknown,organization,0,4
1201,ICCV,2015,20,12,102,13,6955,0,0,3,matlab,14,1,2,4,0,0,1,0,0,0,0,0,caffe,personal,0,4
1202,ICCV,2015,25,1,63,6,4553,0,0,2,matlab,38,0,2,0,0,0,0,0,0,0,0,0,matlab,personal,0,4
1203,ICCV,2015,76,0,1,1,75,0,0,1,matlab,0,0,0,1,0,0,0,0,0,0,0,0,matlab,personal,0,4
1204,ICCV,2015,74,3,11,5,480,0,0,2,matlab,0,0,1,0,0,0,0,0,0,0,0,0,matlab,personal,1,3
1205,ICCV,2015,193,1,12,7,2531,0,0,2,matlab,2,0,1,0,0,0,0,0,1,0,0,0,matlab,personal,1,13
1206,CVPR,2015,112,2,9,5,761,0,1,1,matlab,0,0,1,0,1,0,0,0,0,0,0,0,Unknown,personal,0,3
1207,ICCV,2015,24,7,22,9,2960,0,0,2,matlab,4,0,0,0,1,0,0,0,0,0,0,0,matlab,personal,1,5
1208,ICCV,2015,13,9,66,9,2517,0,1,1,matlab,0,0,3,0,0,0,0,0,0,0,1,0,Unknown,organization,1,5
